carrier,flight_number,from city,gate,status,scheduled_time,updated_time
Scandinavian Airlines,9842,Raleigh/Durham| NC,Term 1 - C16,Scheduled,2020-07-23 12:44:00,2020-07-23 12:09:00
Qatar Airways,2851,Indianapolis| IN,Term T3 - L4,Scheduled,2020-07-23 12:45:00,2020-07-23 12:45:00
American Airlines,4494,Indianapolis| IN,Term T3 - L4,Scheduled,2020-07-23 12:45:00,2020-07-23 12:45:00
British Airways,5533,Indianapolis| IN,Term T3 - L4,Scheduled,2020-07-23 12:45:00,2020-07-23 12:45:00
Air Canada,5539,Pittsburgh| PA,Term 1 - C8,Scheduled,2020-07-23 12:46:00,2020-07-23 12:46:00
All Nippon Airways,7441,Pittsburgh| PA,Term 1 - C8,Scheduled,2020-07-23 12:46:00,2020-07-23 12:46:00
Air Canada,4923,St Louis| MO,Term 2 - F11,Scheduled,2020-07-23 12:50:00,2020-07-23 12:50:00
Lufthansa,8923,St Louis| MO,Term 2 - F11,Scheduled,2020-07-23 12:50:00,2020-07-23 12:50:00
Air New Zealand,2342,Newark| NJ,Term 1 - B14,Scheduled,2020-07-23 12:51:00,2020-07-23 12:29:00
Air Canada,5206,Newark| NJ,Term 1 - B14,Scheduled,2020-07-23 12:51:00,2020-07-23 12:29:00
Aer Lingus,6817,Sioux Falls| SD,Term 2 - F25,Scheduled,2020-07-23 12:51:00,2020-07-23 12:51:00
Air New Zealand,2722,Norfolk| VA,Term 1 - C2,Scheduled,2020-07-23 12:52:00,2020-07-23 12:52:00
United Airlines,3409,Norfolk| VA,Term 1 - C2,Scheduled,2020-07-23 12:52:00,2020-07-23 12:52:00
United Airlines,4415,Cincinnati| OH,Term 2 - F19,Scheduled,2020-07-23 12:53:00,2020-07-23 12:53:00
Austrian Airlines,7714,Cleveland| OH,Term 1 - B8,Scheduled,2020-07-23 12:53:00,2020-07-23 12:48:00
Turkish Airlines,9566,Cleveland| OH,Term 1 - B8,Scheduled,2020-07-23 12:53:00,2020-07-23 12:48:00
Air New Zealand,2738,Philadelphia| PA,Term 1 - B5,Scheduled,2020-07-23 12:54:00,2020-07-23 12:54:00
Scandinavian Airlines,9830,Philadelphia| PA,Term 1 - B5,Scheduled,2020-07-23 12:54:00,2020-07-23 12:54:00
Aer Lingus,6087,Houston| TX,Term 1 - C18,Scheduled,2020-07-23 12:55:00,2020-07-23 12:42:00
Air New Zealand,6841,Houston| TX,Term 1 - C18,Scheduled,2020-07-23 12:55:00,2020-07-23 12:42:00
Austrian Airlines,7730,Houston| TX,Term 1 - C18,Scheduled,2020-07-23 12:55:00,2020-07-23 12:42:00
United Airlines,3573,Minneapolis| MN,Term 1 - C6,Scheduled,2020-07-23 12:56:00,2020-07-23 12:56:00
Scandinavian Airlines,3962,Minneapolis| MN,Term 1 - C6,Scheduled,2020-07-23 12:56:00,2020-07-23 12:56:00
Lufthansa,7999,Minneapolis| MN,Term 1 - C6,Scheduled,2020-07-23 12:56:00,2020-07-23 12:56:00
Air New Zealand,2124,Baltimore| MD,Term 1 - B12,Scheduled,2020-07-23 12:58:00,2020-07-23 12:58:00
Air Canada,5488,Sacramento| CA,Term 1 - B7,In Air,2020-07-23 12:58:00,2020-07-23 12:52:00
All Nippon Airways,6507,Baltimore| MD,Term 1 - B12,Scheduled,2020-07-23 12:58:00,2020-07-23 12:58:00
Lufthansa,9347,Sacramento| CA,Term 1 - B7,In Air,2020-07-23 12:58:00,2020-07-23 12:52:00
Lufthansa,7469,Dallas-Fort Worth| TX,Term 1 - C5,Scheduled,2020-07-23 12:59:00,2020-07-23 12:59:00
Scandinavian Airlines,9798,Dallas-Fort Worth| TX,Term 1 - C5,Scheduled,2020-07-23 12:59:00,2020-07-23 12:59:00
Lufthansa,9099,Moline| IL,Term 2 - E1,Scheduled,2020-07-23 13:00:00,2020-07-23 13:00:00
United Airlines,3404,Atlanta| GA,Term 1 - C3,Scheduled,2020-07-23 13:01:00,2020-07-23 13:01:00
Austrian Airlines,7724,Atlanta| GA,Term 1 - C3,Scheduled,2020-07-23 13:01:00,2020-07-23 13:01:00
Air New Zealand,2572,Kansas City| MO,Term 1 - C4,Scheduled,2020-07-23 13:02:00,2020-07-23 13:02:00
Aer Lingus,6691,Orange County| CA,Term 1 - C22,In Air,2020-07-23 13:02:00,2020-07-23 12:51:00
Aer Lingus,6133,Phoenix| AZ,Term 1 - B6,Departed,2020-07-23 13:03:00,2020-07-23 12:46:00
All Nippon Airways,7727,Orlando| FL,Term 1 - C19,Scheduled,2020-07-23 13:03:00,2020-07-23 12:42:00
