carrier,flight_number,from city,gate,status,scheduled_time,updated_time
Qatar Airways,7825,Marquette| MI,Term T3 - G12,Scheduled,2020-07-23 13:59:00,2020-07-23 13:59:00
British Airways,1885,El Paso| TX,Term T3 - L23,Scheduled,2020-07-23 14:00:00,2020-07-23 14:00:00
Alaska Airlines,4236,El Paso| TX,Term T3 - L23,Scheduled,2020-07-23 14:00:00,2020-07-23 14:00:00
American Airlines,2881,Las Vegas| NV,Term T3 - K6,Scheduled,2020-07-23 14:02:00,2020-07-23 14:07:00
Gulf Air,6612,Las Vegas| NV,Term T3 - K6,Scheduled,2020-07-23 14:02:00,2020-07-23 14:07:00
American Airlines,4522,Fayetteville/Springdale/| AR,Term T3 - L4,Scheduled,2020-07-23 14:03:00,2020-07-23 14:03:00
Qatar Airways,7623,Fayetteville/Springdale/| AR,Term T3 - L4,Scheduled,2020-07-23 14:03:00,2020-07-23 14:03:00
British Airways,1757,Nashville| TN,Term T3 - G11,Scheduled,2020-07-23 14:04:00,2020-07-23 14:04:00
Qatar Airways,2782,Denver| CO,Term T3 - H11B,Scheduled,2020-07-23 14:04:00,2020-07-23 14:04:00
American Airlines,3100,Nashville| TN,Term T3 - G11,Scheduled,2020-07-23 14:04:00,2020-07-23 14:04:00
Virgin Atlantic,4410,Salt Lake City| UT,Term 2 - E15,Scheduled,2020-07-23 14:04:00,2020-07-23 14:04:00
Gulf Air,6858,Denver| CO,Term T3 - H11B,Scheduled,2020-07-23 14:04:00,2020-07-23 14:04:00
AeroMexico,686,Mexico City,Term 5,Departed,2020-07-23 14:05:00,2020-07-23 13:33:00
Qatar Airways,2728,Philadelphia| PA,Term T3 - H8,Scheduled,2020-07-23 14:05:00,2020-07-23 14:05:00
American Airlines,3296,Kansas City| MO,Term T3 - G1B,Scheduled,2020-07-23 14:06:00,2020-07-23 14:06:00
British Airways,5062,Kansas City| MO,Term T3 - G1B,Scheduled,2020-07-23 14:06:00,2020-07-23 14:06:00
Alaska Airlines,4618,Omaha| NE,Term T3 - L2A,Scheduled,2020-07-23 14:07:00,2020-07-23 14:07:00
Gulf Air,6738,Omaha| NE,Term T3 - L2A,Scheduled,2020-07-23 14:07:00,2020-07-23 14:07:00
American Airlines,3248,St Louis| MO,Term T3 - G13,Scheduled,2020-07-23 14:08:00,2020-07-23 14:08:00
British Airways,4681,St Louis| MO,Term T3 - G13,Scheduled,2020-07-23 14:08:00,2020-07-23 14:08:00
American Airlines,1049,Seattle| WA,Term T3 - H16,Scheduled,2020-07-23 14:09:00,2020-07-23 14:21:00
Qatar Airways,2870,San Jose| CA,Term T3 - H9,Scheduled,2020-07-23 14:09:00,2020-07-23 14:19:00
Alaska Airlines,4552,Moline| IL,Term T3 - G14A,Scheduled,2020-07-23 14:09:00,2020-07-23 14:09:00
Gulf Air,6660,Seattle| WA,Term T3 - H16,Scheduled,2020-07-23 14:09:00,2020-07-23 14:21:00
British Airways,6697,San Jose| CA,Term T3 - H9,Scheduled,2020-07-23 14:09:00,2020-07-23 14:19:00
Malaysia Airlines,9388,Seattle| WA,Term T3 - H16,Scheduled,2020-07-23 14:09:00,2020-07-23 14:21:00
JetBlue Airways,566,Fort Lauderdale| FL, ,Scheduled,2020-07-23 14:10:00,
Qatar Airways,2380,San Diego| CA,Term T3 - K12,Scheduled,2020-07-23 14:10:00,2020-07-23 14:15:00
American Airlines,4502,Memphis| TN,Term T3 - L20,Scheduled,2020-07-23 14:10:00,2020-07-23 14:10:00
British Airways,6935,San Diego| CA,Term T3 - K12,Scheduled,2020-07-23 14:10:00,2020-07-23 14:15:00
Qatar Airways,2770,Raleigh/Durham| NC,Term T3 - H17,Scheduled,2020-07-23 14:12:00,2020-07-23 14:12:00
American Airlines,4133,Portland| ME,Term T3 - H4,Scheduled,2020-07-23 14:12:00,2020-07-23 14:12:00
British Airways,5549,New York| NY,Term T3 - H10,Scheduled,2020-07-23 14:12:00,2020-07-23 14:12:00
American Airlines,3491,Richmond| VA,Term T3 - H1A,Scheduled,2020-07-23 14:13:00,2020-07-23 14:13:00
British Airways,4710,Richmond| VA,Term T3 - H1A,Scheduled,2020-07-23 14:13:00,2020-07-23 14:13:00
American Airlines,1650,Charlotte| NC,Term T3 - H14,Scheduled,2020-07-23 14:14:00,2020-07-23 14:14:00
British Airways,5502,Charlotte| NC,Term T3 - H14,Scheduled,2020-07-23 14:14:00,2020-07-23 14:14:00
American Airlines,4121,Traverse City| MI,Term T3 - L1B,Scheduled,2020-07-23 14:15:00,2020-07-23 14:15:00
Alaska Airlines,4681,Traverse City| MI,Term T3 - L1B,Scheduled,2020-07-23 14:15:00,2020-07-23 14:15:00
Qatar Airways,7642,Dayton| OH,Term T3 - G7,Scheduled,2020-07-23 14:15:00,2020-07-23 14:15:00
Qatar Airways,7846,Wilmington| NC,Term T3 - L3,Scheduled,2020-07-23 14:17:00,2020-07-23 14:17:00
American Airlines,3850,La Crosse| WI,Term T3 - L1A,Scheduled,2020-07-23 14:19:00,2020-07-23 14:19:00
Alaska Airlines,4211,Des Moines| IA,Term T3 - G18,Scheduled,2020-07-23 14:19:00,2020-07-23 14:19:00
British Airways,4734,Des Moines| IA,Term T3 - G18,Scheduled,2020-07-23 14:19:00,2020-07-23 14:19:00
Gulf Air,6730,Tulsa| OK,Term T3 - L8,Scheduled,2020-07-23 14:19:00,2020-07-23 14:19:00
Qatar Airways,7814,La Crosse| WI,Term T3 - L1A,Scheduled,2020-07-23 14:19:00,2020-07-23 14:19:00
American Airlines,4126,Fargo| ND,Term T3 - G1A,Scheduled,2020-07-23 14:20:00,2020-07-23 14:20:00
Gulf Air,4223,Portland| OR,Term T3 - K10,Scheduled,2020-07-23 14:20:00,2020-07-23 14:29:00
British Airways,6632,Wichita| KS,Term T3 - L6A,Scheduled,2020-07-23 14:20:00,2020-07-23 14:20:00
Qatar Airways,7875,Springfield| MO,Term T3 - H3A,Scheduled,2020-07-23 14:20:00,2020-07-23 14:20:00
Spirit Airlines,105,Cancun,Term 3 - M,Scheduled,2020-07-23 14:29:00,2020-07-23 14:50:00
Volaris,2144,Phoenix| AZ,Term 5 - M2,Scheduled,2020-07-23 14:32:00,2020-07-23 14:14:00
United Airlines,928,London,INTL,In Air,2020-07-23 15:15:00,2020-07-23 14:11:00
Air Canada,5363,London,INTL,In Air,2020-07-23 15:15:00,2020-07-23 14:11:00
Brussels Airlines,9087,London,INTL,In Air,2020-07-23 15:15:00,2020-07-23 14:11:00
American Airlines,3211,Nashville| TN,Term T3 - G17,Arrived,2020-07-24 09:15:00,2020-07-24 11:51:00
CK,227,Anchorage| AK, ,In Air,2020-07-24 10:45:00,2020-07-24 13:06:00
Air Choice One,2106,Mason City| IA,Term 3,No Recent Info - Call Airline,2020-07-24 11:30:00,
American Airlines,2754,Dallas-Fort Worth| TX,Term T3 - H17,Arrived,2020-07-24 12:04:00,2020-07-24 11:25:00
Alaska Airlines,4102,New York| NY,Term T3 - H14,Arrived,2020-07-24 12:13:00,2020-07-24 11:19:00
Alaska Airlines,4044,Jacksonville| FL,Term T3 - L6A,Arrived,2020-07-24 12:15:00,2020-07-24 11:49:00
British Airways,6529,Kansas City| MO,Term T3 - L2A,Arrived,2020-07-24 12:15:00,2020-07-24 11:59:00
Qatar Airways,2423,San Francisco| CA,Term T3 - H18,Arrived,2020-07-24 12:19:00,2020-07-24 12:13:00
Scandinavian Airlines,943,Copenhagen,Term 5,Arrived,2020-07-24 12:20:00,2020-07-24 11:57:00
Malaysia Airlines,9449,Los Angeles| CA,Term T3 - K12,Arrived,2020-07-24 12:21:00,2020-07-24 12:15:00
American Airlines,3338,Columbus| OH,Term T3 - L20,Arrived,2020-07-24 12:22:00,2020-07-24 12:11:00
Iberia Airlines,4035,Lexington| KY,Term T3 - G8,Arrived,2020-07-24 12:23:00,2020-07-24 11:57:00
Alaska Airlines,6040,Lexington| KY,Term T3 - G8,Arrived,2020-07-24 12:23:00,2020-07-24 11:57:00
Gulf Air,4158,Pittsburgh| PA,Term T3 - K1,Arrived,2020-07-24 12:24:00,2020-07-24 11:52:00
Delta Air Lines,1708,Atlanta| GA,Term 2 - E11,Arrived,2020-07-24 12:25:00,2020-07-24 12:18:00
AeroMexico,3024,Atlanta| GA,Term 2 - E11,Arrived,2020-07-24 12:25:00,2020-07-24 12:18:00
Qatar Airways,9269,Miami| FL,Term T3 - K19,Arrived,2020-07-24 12:25:00,2020-07-24 12:22:00
Qantas Airways,3305,Toronto,Term T3 - L4,Arrived,2020-07-24 12:26:00,2020-07-24 12:18:00
Alaska Airlines,4036,Toronto,Term T3 - L4,Arrived,2020-07-24 12:26:00,2020-07-24 12:18:00
Qatar Airways,2438,Nashville| TN,Term T3 - H11B,Arrived,2020-07-24 12:27:00,2020-07-24 12:22:00
British Airways,4374,Nashville| TN,Term T3 - H11B,Arrived,2020-07-24 12:27:00,2020-07-24 12:22:00
Alaska Airlines,4648,Milwaukee| WI,Term T3 - G11,Arrived,2020-07-24 12:28:00,2020-07-24 12:14:00
United Airlines,484,Washington| DC,Term 1 - C9,Arrived,2020-07-24 12:31:00,2020-07-24 11:51:00
British Airways,5460,San Diego| CA,Term T3 - K13,Arrived,2020-07-24 12:31:00,2020-07-24 12:04:00
British Airways,1787,Reno| NV,Term T3 - K18,Landed,2020-07-24 12:32:00,2020-07-24 12:23:00
American Airlines,3174,Green Bay| WI,Term T3 - G13,Arrived,2020-07-24 12:34:00,2020-07-24 12:16:00
American Airlines,3641,Dubuque| IA,Term T3 - L3,Arrived,2020-07-24 12:35:00,2020-07-24 12:22:00
Lufthansa,7791,Aspen| CO,Term 1 - B23,Landed,2020-07-24 12:35:00,2020-07-24 12:21:00
American Airlines,3303,Newark| NJ,Term T3 - L6B,Arrived,2020-07-24 12:36:00,2020-07-24 12:23:00
Alaska Airlines,4542,Newark| NJ,Term T3 - L6B,Arrived,2020-07-24 12:36:00,2020-07-24 12:23:00
United Airlines,504,Fort Lauderdale| FL,Term 1 - C19,Arrived,2020-07-24 12:37:00,2020-07-24 12:03:00
Scandinavian Airlines,9806,Fort Lauderdale| FL,Term 1 - C19,Arrived,2020-07-24 12:37:00,2020-07-24 12:03:00
Alaska Airlines,4251,Madison| WI,Term T3 - G3,Arrived,2020-07-24 12:39:00,2020-07-24 12:23:00
Qatar Airways,2461,Orlando| FL,Term T3 - H9,Landed,2020-07-24 12:40:00,2020-07-24 12:22:00
Air New Zealand,2602,Memphis| TN,Term 2 - F19,Landed,2020-07-24 12:43:00,2020-07-24 12:27:00
United Airlines,4404,Memphis| TN,Term 2 - F19,Landed,2020-07-24 12:43:00,2020-07-24 12:27:00
All Nippon Airways,7757,Memphis| TN,Term 2 - F19,Landed,2020-07-24 12:43:00,2020-07-24 12:27:00
Air New Zealand,2792,Raleigh/Durham| NC,Term 1 - C22,Landed,2020-07-24 12:44:00,2020-07-24 12:21:00
All Nippon Airways,7781,Raleigh/Durham| NC,Term 1 - C22,Landed,2020-07-24 12:44:00,2020-07-24 12:21:00
Scandinavian Airlines,9842,Raleigh/Durham| NC,Term 1 - C22,Landed,2020-07-24 12:44:00,2020-07-24 12:21:00
Qatar Airways,2851,Indianapolis| IN,Term T3 - L21,Landed,2020-07-24 12:45:00,2020-07-24 12:24:00
American Airlines,4494,Indianapolis| IN,Term T3 - L21,Landed,2020-07-24 12:45:00,2020-07-24 12:24:00
British Airways,5533,Indianapolis| IN,Term T3 - L21,Landed,2020-07-24 12:45:00,2020-07-24 12:24:00
Air Canada,5539,Pittsburgh| PA,Term 1 - C5,In Air,2020-07-24 12:46:00,2020-07-24 12:34:00
Scandinavian Airlines,8756,Pittsburgh| PA,Term 1 - C5,In Air,2020-07-24 12:46:00,2020-07-24 12:34:00
American Airlines,2928,Dallas-Fort Worth| TX,Term T3 - K8,Landed,2020-07-24 12:49:00,2020-07-24 12:25:00
Aer Lingus,6852,Little Rock| AR,Term 2 - F27,Arrived,2020-07-24 12:50:00,2020-07-24 12:24:00
Lufthansa,8923,St Louis| MO,Term 2 - F15,In Air,2020-07-24 12:50:00,2020-07-24 12:29:00
Air New Zealand,2342,Newark| NJ,Term 1 - B14,In Air,2020-07-24 12:51:00,2020-07-24 12:58:00
Air Canada,5206,Newark| NJ,Term 1 - B14,In Air,2020-07-24 12:51:00,2020-07-24 12:58:00
Aer Lingus,6817,Sioux Falls| SD,Term 2 - F6,Arrived,2020-07-24 12:51:00,2020-07-24 12:22:00
Air New Zealand,2722,Norfolk| VA,Term 1 - C30,Landed,2020-07-24 12:52:00,2020-07-24 12:27:00
United Airlines,3409,Norfolk| VA,Term 1 - C30,Landed,2020-07-24 12:52:00,2020-07-24 12:27:00
United Airlines,4415,Cincinnati| OH,Term 2 - F25,Landed,2020-07-24 12:53:00,2020-07-24 12:26:00
Austrian Airlines,7714,Cleveland| OH,Term 1 - C29,In Air,2020-07-24 12:53:00,2020-07-24 12:34:00
Turkish Airlines,9566,Cleveland| OH,Term 1 - C29,In Air,2020-07-24 12:53:00,2020-07-24 12:34:00
Air New Zealand,2738,Philadelphia| PA,Term 1 - B6,In Air,2020-07-24 12:54:00,2020-07-24 12:36:00
Scandinavian Airlines,9830,Philadelphia| PA,Term 1 - B6,In Air,2020-07-24 12:54:00,2020-07-24 12:36:00
Aer Lingus,6087,Houston| TX,Term 1 - C20,In Air,2020-07-24 12:55:00,2020-07-24 12:33:00
Air New Zealand,6841,Houston| TX,Term 1 - C20,In Air,2020-07-24 12:55:00,2020-07-24 12:33:00
Austrian Airlines,7730,Houston| TX,Term 1 - C20,In Air,2020-07-24 12:55:00,2020-07-24 12:33:00
United Airlines,3573,Minneapolis| MN,Term 1 - C1,Landed,2020-07-24 12:56:00,2020-07-24 12:19:00
Scandinavian Airlines,3962,Minneapolis| MN,Term 1 - C1,Landed,2020-07-24 12:56:00,2020-07-24 12:19:00
Lufthansa,7999,Minneapolis| MN,Term 1 - C1,Landed,2020-07-24 12:56:00,2020-07-24 12:19:00
United Airlines,5259,Baltimore| MD,Term 1 - B19,In Air,2020-07-24 12:58:00,2020-07-24 12:35:00
Aer Lingus,6373,Sacramento| CA,Term 1 - B9,In Air,2020-07-24 12:58:00,2020-07-24 12:29:00
Scandinavian Airlines,8888,Sacramento| CA,Term 1 - B9,In Air,2020-07-24 12:58:00,2020-07-24 12:29:00
Air Canada,5913,Dallas-Fort Worth| TX,Term 1 - C28,Landed,2020-07-24 12:59:00,2020-07-24 12:22:00
All Nippon Airways,7573,New York| NY,Term 1 - B11,Landed,2020-07-24 12:59:00,2020-07-24 12:23:00
Cargolux Airlines,4355,Hong Kong, ,LandedDiversion,2020-07-24 13:00:00,
Air India,8637,Frankfurt,Term 5,Arrived,2020-07-24 13:00:00,2020-07-24 12:24:00
Lufthansa,9099,Moline| IL,Term 2 - E1,In Air,2020-07-24 13:00:00,2020-07-24 12:28:00
Air New Zealand,2022,Atlanta| GA,Term 1 - C3,In Air,2020-07-24 13:01:00,2020-07-24 12:52:00
Lufthansa,7445,Atlanta| GA,Term 1 - C3,In Air,2020-07-24 13:01:00,2020-07-24 12:52:00
Scandinavian Airlines,9747,Atlanta| GA,Term 1 - C3,In Air,2020-07-24 13:01:00,2020-07-24 12:52:00
Aer Lingus,6691,Orange County| CA,Term 1 - C24,In Air,2020-07-24 13:02:00,2020-07-24 12:39:00
Aer Lingus,6133,Phoenix| AZ,Term 1 - B10,Landed,2020-07-24 13:03:00,2020-07-24 12:27:00
All Nippon Airways,7727,Orlando| FL,Term 1 - B7,In Air,2020-07-24 13:03:00,2020-07-24 12:30:00
Air Canada,4295,Austin| TX,Term 1 - B4,In Air,2020-07-24 13:04:00,2020-07-24 12:54:00
Aer Lingus,6263,Austin| TX,Term 1 - B4,In Air,2020-07-24 13:04:00,2020-07-24 12:54:00
Lufthansa,7685,Austin| TX,Term 1 - B4,In Air,2020-07-24 13:04:00,2020-07-24 12:54:00
United Airlines,4385,Grand Rapids| MI,Term 2 - F21,In Air,2020-07-24 13:05:00,2020-07-24 12:33:00
Lufthansa,9411,Grand Rapids| MI,Term 2 - F21,In Air,2020-07-24 13:05:00,2020-07-24 12:33:00
United Airlines,3576,Charleston| SC,Term 1 - C6,In Air,2020-07-24 13:06:00,2020-07-24 13:08:00
All Nippon Airways,7251,Charleston| SC,Term 1 - C6,In Air,2020-07-24 13:06:00,2020-07-24 13:08:00
Air New Zealand,2926,Tulsa| OK,Term 1 - B2,In Air,2020-07-24 13:07:00,2020-07-24 12:46:00
United Airlines,5584,Tulsa| OK,Term 1 - B2,In Air,2020-07-24 13:07:00,2020-07-24 12:46:00
All Nippon Airways,7611,Tulsa| OK,Term 1 - B2,In Air,2020-07-24 13:07:00,2020-07-24 12:46:00
Air New Zealand,2650,Madison| WI,Term 2 - E4,In Air,2020-07-24 13:08:00,2020-07-24 12:35:00
Aer Lingus,6872,Madison| WI,Term 2 - E4,In Air,2020-07-24 13:08:00,2020-07-24 12:35:00
Air New Zealand,2488,Indianapolis| IN,Term 2 - F28,In Air,2020-07-24 13:09:00,2020-07-24 12:43:00
United Airlines,5670,Salt Lake City| UT,Term 1 - B1,In Air,2020-07-24 13:09:00,2020-07-24 12:48:00
All Nippon Airways,7605,Indianapolis| IN,Term 2 - F28,In Air,2020-07-24 13:09:00,2020-07-24 12:43:00
Scandinavian Airlines,9852,Salt Lake City| UT,Term 1 - B1,In Air,2020-07-24 13:09:00,2020-07-24 12:48:00
Lufthansa,9147,San Diego| CA,Term 1 - B8,Landed,2020-07-24 13:10:00,2020-07-24 12:24:00
Aer Lingus,6317,Louisville| KY,Term 2 - F4,In Air,2020-07-24 13:11:00,2020-07-24 12:44:00
Air China,7274,Los Angeles| CA,Term 1 - B5,In Air,2020-07-24 13:12:00,2020-07-24 12:35:00
Air New Zealand,9665,Los Angeles| CA,Term 1 - B5,In Air,2020-07-24 13:12:00,2020-07-24 12:35:00
Delta Air Lines,1065,New York| NY,Term 2 - E15,In Air,2020-07-24 13:15:00,2020-07-24 12:35:00
Air New Zealand,2300,Des Moines| IA,Term 1 - C21,In Air,2020-07-24 13:15:00,2020-07-24 12:56:00
Air Canada,5383,Des Moines| IA,Term 1 - C21,In Air,2020-07-24 13:15:00,2020-07-24 12:56:00
Gulf Air,6468,Orange County| CA,Term T3 - K10,In Air,2020-07-24 13:15:00,2020-07-24 12:46:00
Scandinavian Airlines,9800,Des Moines| IA,Term 1 - C21,In Air,2020-07-24 13:15:00,2020-07-24 12:56:00
Air Canada,3090,Nashville| TN,Term 1 - B21,In Air,2020-07-24 13:16:00,2020-07-24 12:52:00
Lufthansa,8535,Nashville| TN,Term 1 - B21,In Air,2020-07-24 13:16:00,2020-07-24 12:52:00
Aer Lingus,6071,Detroit| MI,Term 1 - B3,In Air,2020-07-24 13:17:00,2020-07-24 12:49:00
Lufthansa,7473,Detroit| MI,Term 1 - B3,In Air,2020-07-24 13:17:00,2020-07-24 12:49:00
Air New Zealand,2272,Washington| DC,Term 1 - C31,In Air,2020-07-24 13:19:00,2020-07-24 12:35:00
Scandinavian Airlines,9796,Washington| DC,Term 1 - C31,In Air,2020-07-24 13:19:00,2020-07-24 12:35:00
Air Canada,5366,San Francisco| CA,Term 1 - C17,In Air,2020-07-24 13:20:00,2020-07-24 12:46:00
Austrian Airlines,7718,San Francisco| CA,Term 1 - C17,In Air,2020-07-24 13:20:00,2020-07-24 12:46:00
Air New Zealand,9309,San Francisco| CA,Term 1 - C17,In Air,2020-07-24 13:20:00,2020-07-24 12:46:00
United Airlines,882,Tokyo,Term 5 - M11,In Air,2020-07-24 13:40:00,2020-07-24 13:04:00
Qatar Airways,725,Doha,Term 5,In Air,2020-07-24 13:45:00,2020-07-24 13:29:00
Malaysia Airlines,9073,Doha,Term 5,In Air,2020-07-24 13:45:00,2020-07-24 13:29:00
American Airlines,3219,Baltimore| MD,Term T3 - K2,In Air,2020-07-24 13:51:00,2020-07-24 13:09:00
American Airlines,3556,Jacksonville| FL,Term T3 - L10C,In Air,2020-07-24 13:52:00,2020-07-24 13:18:00
Alaska Airlines,4573,Jacksonville| FL,Term T3 - L10C,In Air,2020-07-24 13:52:00,2020-07-24 13:18:00
American Airlines,985,Washington| DC,Term T3 - K20,In Air,2020-07-24 13:53:00,2020-07-24 13:07:00
British Airways,4910,Washington| DC,Term T3 - K20,In Air,2020-07-24 13:53:00,2020-07-24 13:07:00
Alaska Airlines,4031,Grand Rapids| MI,Term T3 - G19A,Delayed,2020-07-24 13:54:00,2020-07-24 15:33:00
Qatar Airways,7603,Grand Rapids| MI,Term T3 - G19A,Delayed,2020-07-24 13:54:00,2020-07-24 15:33:00
Alaska Airlines,4710,White Plains| NY,Term T3 - L6A,In Air,2020-07-24 13:58:00,2020-07-24 13:18:00
Alaska Airlines,4690,Oklahoma City| OK,Term T3 - H1B,In Air,2020-07-24 13:59:00,2020-07-24 13:35:00
Japan Airlines,7497,Columbus| OH,Term T3 - G14A,Scheduled,2020-07-24 13:59:00,2020-07-24 14:02:00
British Airways,1885,El Paso| TX,Term T3 - K3,In Air,2020-07-24 14:00:00,2020-07-24 13:31:00
Alaska Airlines,4233,El Paso| TX,Term T3 - K3,In Air,2020-07-24 14:00:00,2020-07-24 13:31:00
American Airlines,2881,Las Vegas| NV,Term T3 - H11A,In Air,2020-07-24 14:02:00,2020-07-24 13:26:00
Alaska Airlines,4208,Fayetteville/Springdale/| AR,Term T3 - L4,Departed,2020-07-24 14:03:00,2020-07-24 14:01:00
British Airways,4968,Fayetteville/Springdale/| AR,Term T3 - L4,Departed,2020-07-24 14:03:00,2020-07-24 14:01:00
Delta Air Lines,1286,Salt Lake City| UT,Term 2 - E14,In Air,2020-07-24 14:04:00,2020-07-24 13:40:00
Alaska Airlines,4589,Nashville| TN,Term T3 - G19A,In Air,2020-07-24 14:04:00,2020-07-24 13:29:00
KLM Royal Dutch Airlines,7873,Salt Lake City| UT,Term 2 - E14,In Air,2020-07-24 14:04:00,2020-07-24 13:40:00
American Airlines,2608,Philadelphia| PA,Term T3 - K9,In Air,2020-07-24 14:05:00,2020-07-24 13:19:00
Delta Air Lines,8052,Mexico City,Term 5,In Air,2020-07-24 14:05:00,2020-07-24 13:20:00
Alaska Airlines,4160,Kansas City| MO,Term T3 - G13,Departed,2020-07-24 14:06:00,2020-07-24 13:55:00
American Airlines,4270,Omaha| NE,Term T3 - L21,Departed,2020-07-24 14:07:00,2020-07-24 14:01:00
British Airways,5283,Omaha| NE,Term T3 - L21,Departed,2020-07-24 14:07:00,2020-07-24 14:01:00
Qatar Airways,2800,St Louis| MO,Term T3 - G5,Scheduled,2020-07-24 14:08:00,2020-07-24 14:08:00
Alaska Airlines,4000,St Louis| MO,Term T3 - G5,Scheduled,2020-07-24 14:08:00,2020-07-24 14:08:00
Gulf Air,6652,St Louis| MO,Term T3 - G5,Scheduled,2020-07-24 14:08:00,2020-07-24 14:08:00
Qantas Airways,4787,Minneapolis| MN,Term T3 - L10A,Departed,2020-07-24 14:09:00,2020-07-24 14:02:00
British Airways,6935,San Diego| CA,Term T3 - K12,In Air,2020-07-24 14:10:00,2020-07-24 13:31:00
British Airways,5549,New York| NY,Term T3 - H6,In Air,2020-07-24 14:12:00,2020-07-24 13:10:00
American Airlines,3491,Richmond| VA,Term T3 - L1B,In Air,2020-07-24 14:13:00,2020-07-24 13:46:00
British Airways,4710,Richmond| VA,Term T3 - L1B,In Air,2020-07-24 14:13:00,2020-07-24 13:46:00
American Airlines,1650,Charlotte| NC,Term T3 - H14,In Air,2020-07-24 14:14:00,2020-07-24 13:38:00
British Airways,5502,Charlotte| NC,Term T3 - H14,In Air,2020-07-24 14:14:00,2020-07-24 13:38:00
Japan Airlines,7337,Dayton| OH,Term T3 - G8,Scheduled,2020-07-24 14:15:00,2020-07-24 14:14:00
American Airlines,3648,Wilmington| NC,Term T3 - L22,Delayed,2020-07-24 14:17:00,2020-07-24 15:25:00
Qantas Airways,3325,San Francisco| CA,Term T3 - H5,In Air,2020-07-24 14:20:00,2020-07-24 13:53:00
Alaska Airlines,4135,Fargo| ND,Term T3 - G11,Delayed,2020-07-24 14:20:00,2020-07-24 16:31:00
Malaysia Airlines,9469,Portland| OR,Term T3 - K18,In Air,2020-07-24 14:20:00,2020-07-24 13:52:00
Frontier Airlines,1422,Miami| FL,Term 5 - M2,In Air,2020-07-24 14:24:00,2020-07-24 13:52:00
Spirit Airlines,105,Cancun,Term 3 - M,In Air,2020-07-24 14:29:00,2020-07-24 14:42:00
British Airways,5389,Dallas-Fort Worth| TX,Term T3 - K13,Departed,2020-07-24 14:46:00,2020-07-24 14:39:00
Volaris,2341,Orlando| FL,Term 5 - M1,In Air,2020-07-24 14:53:00,2020-07-24 14:11:00
Aer Lingus,123,Dublin,Term 5,In Air,2020-07-24 14:55:00,2020-07-24 13:52:00
Thai Airways,6176,Tokyo,Term 5,In Air,2020-07-24 14:55:00,2020-07-24 14:49:00
Etihad Airways,7966,Dublin,Term 5,In Air,2020-07-24 14:55:00,2020-07-24 13:52:00
LOT Polish Airlines,4350,Denver| CO,Term 1 - C23,Scheduled,2020-07-24 15:10:00,2020-07-24 15:01:00
Aer Lingus,6056,Denver| CO,Term 1 - C23,Scheduled,2020-07-24 15:10:00,2020-07-24 15:01:00
United Airlines,8307,Toronto,Term 2,Scheduled,2020-07-24 15:10:00,2020-07-24 14:27:00
SWISS,3044,London,Term 5 - M16,In Air,2020-07-24 15:15:00,2020-07-24 14:10:00
Austrian Airlines,7849,London,Term 5 - M16,In Air,2020-07-24 15:15:00,2020-07-24 14:10:00
Lufthansa,9348,London,Term 5 - M16,In Air,2020-07-24 15:15:00,2020-07-24 14:10:00
Qatar Airways,2700,Philadelphia| PA,Term T3 - H9,Scheduled,2020-07-24 15:17:00,2020-07-24 15:05:00
Gulf Air,4187,Los Angeles| CA,Term T3 - K10,In Air,2020-07-24 15:17:00,2020-07-24 14:54:00
Alaska Airlines,4530,Philadelphia| PA,Term T3 - H9,Scheduled,2020-07-24 15:17:00,2020-07-24 15:05:00
Malaysia Airlines,9346,Los Angeles| CA,Term T3 - K10,In Air,2020-07-24 15:17:00,2020-07-24 14:54:00
American Airlines,2381,Jackson| WY,Term T3 - H12,Scheduled,2020-07-24 15:19:00,2020-07-24 15:31:00
Alaska Airlines,1208,San Francisco| CA,Term 3 - G4,In Air,2020-07-24 15:30:00,2020-07-24 15:09:00
Delta Air Lines,751,Seattle| WA,Term 2 - E11,In Air,2020-07-24 15:45:00,2020-07-24 15:30:00
Qatar Airways,2456,Dallas-Fort Worth| TX,Term T3 - K16,Scheduled,2020-07-24 15:45:00,2020-07-24 15:40:00
Gulf Air,6737,Dallas-Fort Worth| TX,Term T3 - K16,Scheduled,2020-07-24 15:45:00,2020-07-24 15:40:00
Qatar Airways,2866,Washington| DC,Term T3 - K9,Scheduled,2020-07-24 15:50:00,2020-07-24 15:38:00
American Airlines,1883,Charlotte| NC,Term T3 - K19,Scheduled,2020-07-24 15:55:00,2020-07-24 15:55:00
British Airways,5459,Charlotte| NC,Term T3 - K19,Scheduled,2020-07-24 15:55:00,2020-07-24 15:55:00
United Airlines,5165,Salina| KS,Term 2 - E6,Scheduled,2020-07-24 16:05:00,2020-07-24 16:05:00
Qatar Airways,2898,Fort Myers| FL,Term T3 - H16,Scheduled,2020-07-24 16:06:00,2020-07-24 16:03:00
Qatar Airways,2858,New York| NY,Term T3 - K8,Scheduled,2020-07-24 16:10:00,2020-07-24 16:06:00
British Airways,6579,New York| NY,Term T3 - K8,Scheduled,2020-07-24 16:10:00,2020-07-24 16:06:00
American Airlines,8351,Quincy| IL,Term 3,Scheduled,2020-07-24 16:11:00,
Air New Zealand,2302,Des Moines| IA,Term 1 - B22,Scheduled,2020-07-24 16:25:00,2020-07-24 16:25:00
